2020-03-05 11:24:10 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=2342051, format=png, width=2160, height=1080, colorModel=rgba, orientation=null, name=f5ef2337f7b010e4eb1b9c347ff23e8a_1583378623025-watermark) :84
2020-03-05 11:37:55 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=146679, format=jpeg, width=750, height=1500, colorModel=ycbcr, orientation=null, name=1536f7565138eb707405153571f0a798_1583379464076-watermark) :84
2020-03-05 11:43:16 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=105903, format=jpeg, width=960, height=1200, colorModel=ycbcr, orientation=null, name=6d16ed528e0a9268514661ec1039c688_1583379791532-watermark) :84
2020-03-05 11:43:16 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=113744, format=jpeg, width=719, height=977, colorModel=ycbcr, orientation=null, name=a8932da57a0a215ff59658ec22f437a5_1583379791498-watermark) :84
2020-03-05 11:50:17 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=643938, format=png, width=1600, height=1600, colorModel=rgba, orientation=null, name=b965d87beec0f0af9f058882c0bd687c_1583365314253-watermark-compress) :84
2020-03-05 11:53:12 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=1789613, format=png, width=1080, height=1920, colorModel=rgba, orientation=null, name=4c06b35bae948d9b1dd5055c4ce8d712_1583380363052-watermark) :84
2020-03-05 10:02:10 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=108840, format=jpeg, width=658, height=931, colorModel=ycbcr, orientation=null, name=2e96ef433cc24d411ba46ba6808e7845_1583373721934-watermark) :84
2020-03-05 10:05:58 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=117840, format=jpeg, width=1080, height=1080, colorModel=ycbcr, orientation=null, name=4e51ea9c2d09eabb79069491f5b34706_1583373942599-watermark) :84
2020-03-05 10:33:12 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=135956, format=jpeg, width=1080, height=1920, colorModel=ycbcr, orientation=null, name=e1da84a228a16dc01e5aebff334e84b1_1583375585558-watermark) :84
2020-03-05 09:02:52 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=297180, format=jpeg, width=1080, height=1920, colorModel=ycbcr, orientation=null, name=bd725f6b0ab4c3e0c70636a202c6b622_1583370164683-watermark) :84
2020-03-05 09:17:07 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=311263, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=6f3e08b0e25b5c6f305e835e50ed386f_1583371024426-watermark) :84
